@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-1.0,1
4574.1055,2
1127.8739,3
1308.8885,4
2484.142,5
1111.1643,6
2839.4102,7
1557.1263,8
1665.3286,9
3186.2842,10
2581.6013,11
1579.7769,12
3256.9395,13
1849.4535,14
2007.544,15
1962.2086,16
2536.251,17
1883.3242,18
1297.1881,19
914.2013,20
940.7191,21
936.71454,22
979.30963,23
995.21405,24
1085.153,25
1050.307,26
996.8495,27
988.23267,28
964.2717,29
1072.4166,30
993.30615,31
1126.4337,32
1219.5999,33
1590.8159,34
1213.4324,35
1170.65,36
1193.5896,37
1480.5905,38
1031.6643,39
1018.26575,40
1044.4478,41
1064.7452,42
1005.31146,43
1003.33514,44
1054.2072,45
1079.0219,46
1263.0533,47
1299.0664,48
1070.7306,49
1183.1648,50
1167.4607,51
1056.4521,52
1049.6705,53
989.42004,54
1044.312,55
1128.031,56
1150.6017,57
1088.3861,58
1108.5984,59
1136.9788,60
1113.805,61
1049.8088,62
956.01044,63
938.1256,64
1002.96704,65
1026.7167,66
990.2613,67
1052.6173,68
1106.0648,69
1097.624,70
1007.1945,71
1129.8099,72
1051.5686,73
1017.8847,74
962.4002,75
956.7091,76
1018.8977,77
1049.267,78
1054.4648,79
1021.43024,80
1018.07074,81
1026.847,82
995.4664,83
1022.70734,84
980.9139,85
876.11334,86
804.0305,87
862.15204,88
933.61835,89
929.3944,90
1002.19543,91
951.39844,92
928.1786,93
892.9552,94
917.6622,95
963.601,96
903.9726,97
893.6019,98
828.21155,99
811.5752,100
705.1491,101
681.88824,102
698.2155,103
697.6061,104
708.8171,105
700.8715,106
726.5093,107
733.3125,108
727.61084,109
760.3907,110
746.29584,111
697.0683,112
728.6202,113
733.19574,114
640.50134,115
718.2016,116
643.0802,117
658.806,118
560.03644,119
551.7936,120
571.289,121
504.17725,122
559.3626,123
540.1585,124
481.82385,125
616.7554,126
762.4889,127
704.37946,128
664.10266,129
629.902,130
599.1654,131
550.11414,132
541.82245,133
553.10944,134
550.67944,135
558.10834,136
537.1064,137
565.3162,138
566.31476,139
555.254,140
553.66406,141
524.69037,142
569.8149,143
574.9303,144
585.122,145
573.6411,146
548.78217,147
570.55676,148
558.1157,149
902.69867,150
864.1709,151
736.34406,152
725.0473,153
711.86835,154
696.6017,155
690.2518,156
673.49036,157
655.8983,158
704.0642,159
704.37805,160
703.15295,161
716.47833,162
783.8766,163
707.7793,164
732.5287,165
732.91656,166
656.1808,167
663.5312,168
679.1038,169
644.2684,170
614.36395,171
598.779,172
617.80585,173
599.28705,174
761.9779,175
820.52203,176
768.9339,177
740.7999,178
723.14966,179
728.5289,180
692.4511,181
717.8998,182
652.0837,183
681.1972,184
706.0155,185
686.3868,186
722.23376,187
761.93915,188
771.9015,189
729.1484,190
743.2416,191
674.5006,192
640.4132,193
635.6569,194
592.8254,195
617.9459,196
600.46686,197
614.3053,198
584.1511,199
565.3078,200
625.22565,201
551.0013,202
574.2992,203
640.0197,204
670.92737,205
675.0638,206
623.42957,207
565.1259,208
564.6965,209
555.1614,210
550.8853,211
599.3577,212
523.3843,213
521.49963,214
564.0181,215
553.8041,216
565.2805,217
591.5499,218
798.79767,219
727.22754,220
715.54987,221
703.1196,222
694.3473,223
714.3992,224
696.85785,225
704.2119,226
692.6183,227
691.0092,228
727.70624,229
670.9314,230
833.26556,231
806.6037,232
718.13727,233
680.64105,234
708.5752,235
675.8645,236
700.0354,237
698.0501,238
688.762,239
664.1245,240
654.973,241
772.26825,242
695.74347,243
699.5935,244
693.42523,245
688.5125,246
687.4126,247
667.868,248
654.70764,249
658.78534,250
606.86786,251
642.5918,252
643.6137,253
654.53723,254
626.37897,255
669.20703,256
640.8575,257
667.8071,258
684.85364,259
632.03076,260
683.7166,261
667.4937,262
646.6042,263
653.2442,264
677.28723,265
666.08923,266
600.1969,267
647.56854,268
606.78046,269
593.08905,270
612.5017,271
641.5389,272
627.8581,273
608.188,274
618.7442,275
613.98114,276
612.00964,277
594.773,278
611.0082,279
580.03687,280
565.97986,281
624.7548,282
531.2084,283
498.3925,284
646.37006,285
519.33466,286
486.06238,287
456.9986,288
427.16953,289
406.34818,290
422.73468,291
402.22003,292
414.92633,293
424.87793,294
414.2313,295
445.0669,296
433.09854,297
440.47632,298
494.86093,299
441.01016,300
473.16177,301
514.79584,302
475.63162,303
509.4925,304
515.25275,305
490.20407,306
520.8425,307
524.0952,308
467.24496,309
533.453,310
505.94553,311
467.26062,312
540.055,313
491.55954,314
488.62094,315
483.49197,316
462.8438,317
501.62735,318
472.02792,319
458.92178,320
493.15833,321
488.07587,322
472.85022,323
497.41528,324
491.3753,325
482.31393,326
504.24307,327
518.74664,328
507.8169,329
530.49506,330
539.96094,331
509.0854,332
543.369,333
583.3208,334
568.4527,335
517.8663,336
528.8747,337
546.4474,338
515.04175,339
501.86636,340
516.54706,341
486.8896,342
498.1975,343
491.4274,344
508.5118,345
503.63306,346
494.69867,347
502.89417,348
503.76782,349
461.1857,350
495.3966,351
501.9079,352
490.49588,353
513.1395,354
488.08316,355
471.51755,356
600.5634,357
788.05023,358
665.82837,359
689.7957,360
699.12634,361
604.3072,362
626.171,363
618.5549,364
583.73517,365
580.75446,366
540.2126,367
542.74945,368
544.3432,369
504.13968,370
547.51337,371
551.4945,372
588.5122,373
816.6613,374
870.50385,375
782.936,376
796.0745,377
703.4905,378
681.7986,379
704.88367,380
544.2219,381
630.44916,382
831.949,383
774.303,384
801.7948,385
807.2228,386
648.74506,387
647.835,388
725.5443,389
716.758,390
783.29517,391
705.4403,392
666.4969,393
682.81287,394
755.06616,395
881.96124,396
819.7932,397
827.5648,398
864.20544,399
952.1103,400
900.33716,401
922.6348,402
948.5922,403
871.1364,404
887.8016,405
1148.1705,406
1014.7881,407
1002.0683,408
1027.5933,409
981.1247,410
1086.3774,411
1032.4856,412
975.79004,413
943.4025,414
928.48193,415
954.0134,416
907.5236,417
1105.2902,418
1061.1926,419
999.1977,420
1066.6395,421
1038.672,422
989.11926,423
1013.93085,424
1091.7141,425
1061.6282,426
1096.3076,427
1135.7241,428
1132.4534,429
1072.7676,430
1083.7866,431
1022.4977,432
1017.5668,433
1022.9818,434
971.37506,435
1069.9368,436
880.07996,437
888.9929,438
1016.31573,439
961.5377,440
883.2161,441
905.0977,442
876.7067,443
860.88885,444
862.0076,445
824.5494,446
983.66724,447
991.01044,448
932.42194,449
945.5112,450
907.33765,451
889.4322,452
1073.9581,453
1013.5737,454
1046.7175,455
1016.931,456
921.44073,457
982.20795,458
953.3303,459
910.3993,460
988.4683,461
957.4716,462
881.0018,463
898.9884,464
775.3766,465
740.8465,466
774.6591,467
714.2712,468
896.9272,469
911.0391,470
895.41095,471
867.12573,472
843.6177,473
815.91254,474
784.99524,475
786.9376,476
762.36896,477
869.20764,478
860.3858,479
843.68304,480
860.0407,481
774.15247,482
756.5802,483
835.831,484
777.9129,485
865.5917,486
956.4729,487
805.14667,488
823.35785,489
844.11505,490
758.0971,491
807.85614,492
847.10986,493
791.3982,494
816.39294,495
849.8447,496
832.97095,497
826.4384,498
819.49396,499
832.0313,500
833.8321,501
778.97955,502
799.38837,503
847.86975,504
832.37976,505
816.0969,506
827.11115,507
702.0813,508
737.2805,509
801.87036,510
770.9234,511
787.66974,512
774.0725,513
907.8314,514
979.06445,515
824.5502,516
852.005,517
889.7546,518
882.7463,519
865.6294,520
903.23975,521
878.57825,522
946.7983,523
925.0141,524
886.3337,525
888.1093,526
933.0241,527
803.80884,528
805.77075,529
804.6015,530
789.43884,531
735.92725,532
808.96344,533
828.6446,534
748.6006,535
754.5474,536
833.54,537
785.4886,538
730.2975,539
752.1907,540
972.54144,541
743.9792,542
734.025,543
794.1179,544
759.94354,545
842.4807,546
762.37317,547
794.7254,548
790.2259,549
731.36115,550
765.09216,551
810.08685,552
719.3651,553
734.2641,554
734.32806,555
783.8028,556
750.5767,557
757.4049,558
779.50684,559
754.0961,560
789.7711,561
779.276,562
861.10974,563
866.3217,564
815.0165,565
837.94684,566
801.6318,567
827.7641,568
770.3771,569
787.80945,570
711.32623,571
705.13007,572
772.024,573
818.70593,574
742.29816,575
746.1973,576
730.4539,577
722.43384,578
712.8859,579
748.20154,580
714.1975,581
722.2649,582
755.4649,583
709.9671,584
647.72614,585
655.0253,586
659.37933,587
651.72363,588
661.17706,589
654.4053,590
671.91974,591
610.27246,592
609.1707,593
622.3305,594
598.4746,595
