@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0493767,2
1.0395613,3
1.1486135,4
1.0298344,5
1.1007024,6
1.1056085,7
1.0380578,8
1.1279713,9
0.9822758,10
1.0861045,11
1.0221313,12
1.0121832,13
1.0838012,14
0.9919325,15
1.088494,16
1.0752367,17
1.124948,18
1.166815,19
2.4805572,20
2.8597713,21
2.8618495,22
2.859865,23
2.8378508,24
2.8180952,25
2.7952104,26
2.8216977,27
2.7364216,28
2.7537434,29
2.7092044,30
2.6172295,31
2.5529284,32
2.6300066,33
2.5995998,34
2.4979446,35
2.6177492,36
2.3953297,37
2.3342736,38
2.8397658,39
2.8402407,40
2.8397918,41
2.8395834,42
2.8386233,43
2.8375103,44
2.8357515,45
2.7445846,46
2.5341723,47
2.56073,48
2.7263908,49
2.7747085,50
2.7821324,51
2.7962687,52
2.8232799,53
2.8231323,54
2.825217,55
2.8251147,56
2.8159285,57
2.8188589,58
2.818281,59
2.8182569,60
2.8103857,61
2.8339555,62
2.8867278,63
2.8877983,64
2.8795023,65
2.8736076,66
2.8716142,67
2.835046,68
2.7355669,69
2.7049432,70
2.7107282,71
2.8370445,72
2.8414369,73
2.8603294,74
2.8707254,75
2.8707101,76
2.875505,77
2.8735325,78
2.8710127,79
2.8667886,80
2.8741057,81
2.8503618,82
2.869145,83
2.8256388,84
2.8736527,85
2.9236374,86
2.930122,87
2.922283,88
2.9224913,89
2.8736804,90
2.793603,91
2.8804872,92
2.890771,93
2.8264532,94
2.9075685,95
2.8926766,96
2.82829,97
2.8643394,98
2.9251714,99
2.936299,100
2.9328897,101
2.9343562,102
2.940062,103
2.9391077,104
2.936962,105
2.9406877,106
2.9343905,107
2.9170625,108
2.9332552,109
2.920018,110
2.915805,111
2.9275622,112
2.9135695,113
2.9087887,114
2.8268404,115
2.8268797,116
2.804268,117
2.8472235,118
2.8698685,119
2.9200537,120
2.8897772,121
2.886152,122
2.863427,123
2.808734,124
2.8625672,125
2.8334138,126
2.924716,127
2.937444,128
2.9328575,129
2.9365127,130
2.9408386,131
2.933605,132
2.9406698,133
2.940598,134
2.9344473,135
2.896615,136
2.919184,137
2.887581,138
2.8598924,139
2.8354886,140
2.8260512,141
2.8083887,142
2.788717,143
2.826629,144
2.8130462,145
2.8665853,146
2.8691008,147
2.881645,148
2.9049942,149
2.8394816,150
2.7932475,151
2.8372583,152
2.9143584,153
2.9012735,154
2.882434,155
2.9249363,156
2.9339297,157
2.9265208,158
2.9160304,159
2.8705165,160
2.8284237,161
2.72717,162
2.8113186,163
2.7736635,164
2.7381275,165
2.7473686,166
2.7694676,167
2.7542918,168
2.7850876,169
2.828928,170
2.8423634,171
2.8791783,172
2.8604052,173
2.8936155,174
2.8316715,175
2.8811877,176
2.9049811,177
2.9226003,178
2.923841,179
2.9280992,180
2.9282775,181
2.9403775,182
2.9395459,183
2.9333675,184
2.9265215,185
2.9249032,186
2.9234495,187
2.8925614,188
2.9096854,189
2.8769882,190
2.806321,191
2.760837,192
2.756481,193
2.7358394,194
2.7803597,195
2.7446845,196
2.7540195,197
2.7028039,198
2.7859356,199
2.773758,200
2.7619076,201
2.768086,202
2.8033583,203
2.8137026,204
2.9198132,205
2.9246619,206
2.918496,207
2.9103944,208
2.8935347,209
2.8729336,210
2.9186857,211
2.9142501,212
2.9011986,213
2.924558,214
2.8958158,215
2.9158473,216
2.8897684,217
2.8945694,218
2.8842473,219
2.916514,220
2.930116,221
2.9352257,222
2.9366307,223
2.9336214,224
2.9378166,225
2.9347095,226
2.9353058,227
2.9290981,228
2.903691,229
2.8589926,230
2.7745879,231
2.8408587,232
2.8945003,233
2.9114244,234
2.9069674,235
2.9171164,236
2.876368,237
2.8976774,238
2.872349,239
2.8737347,240
2.8123305,241
2.8637774,242
2.9634194,243
2.939917,244
2.938992,245
2.9742303,246
2.9770734,247
2.9771566,248
2.967626,249
2.9243038,250
2.9384391,251
2.9428277,252
2.9253373,253
2.898862,254
2.9492388,255
2.9488454,256
2.9444656,257
2.970876,258
2.923226,259
2.9691818,260
2.8699577,261
2.895836,262
2.9406521,263
2.9391341,264
2.9260235,265
2.9129183,266
2.9383974,267
2.9434547,268
2.9358118,269
2.9662335,270
2.9711096,271
2.9258425,272
2.9488215,273
2.9591384,274
2.9314,275
2.9255035,276
2.9258907,277
2.9301953,278
2.9329703,279
2.8458858,280
2.833126,281
2.8082435,282
2.7584584,283
2.8662527,284
2.8022902,285
2.816888,286
2.8841827,287
2.9802723,288
2.9759407,289
3.010035,290
2.9844441,291
2.9750152,292
2.9981654,293
2.9690382,294
2.9336135,295
2.9737446,296
2.9433684,297
2.9350624,298
2.8433547,299
2.9267201,300
2.8944087,301
2.905705,302
2.8829067,303
2.8730335,304
2.921838,305
2.9087636,306
2.8882196,307
2.9159784,308
2.8971012,309
2.8784337,310
2.8464043,311
2.8588288,312
2.8993373,313
2.8630793,314
2.8889647,315
2.9663835,316
2.9347882,317
2.9433117,318
2.9724002,319
2.9293823,320
2.931207,321
2.9459565,322
2.9670558,323
2.9546063,324
2.9100127,325
2.9692938,326
2.948635,327
2.9409158,328
2.9309614,329
2.8990493,330
2.9131312,331
2.884182,332
2.8861392,333
2.946576,334
2.8951514,335
2.8665516,336
2.8926606,337
2.8543797,338
2.851654,339
2.8866236,340
2.893497,341
2.8865805,342
2.8924725,343
2.8852975,344
2.8825471,345
2.7951708,346
2.9041882,347
2.8838737,348
2.8649302,349
2.8694258,350
2.8489683,351
2.8101997,352
2.8266845,353
2.881799,354
2.8916461,355
2.9091063,356
2.8287177,357
2.87104,358
2.8706,359
2.8758175,360
2.8730836,361
2.8738062,362
2.8662841,363
2.8729715,364
2.8563912,365
2.87627,366
2.8735116,367
2.866588,368
2.8640058,369
2.8875294,370
2.8748348,371
2.8670416,372
2.8430645,373
2.8395495,374
2.8399749,375
2.8409169,376
2.840368,377
2.8442762,378
2.844407,379
2.8437755,380
2.8382218,381
2.8212466,382
2.7657619,383
