@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Low energy' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
NaN,1
NaN,2
NaN,3
NaN,4
NaN,5
NaN,6
NaN,7
NaN,8
NaN,9
NaN,10
NaN,11
NaN,12
NaN,13
NaN,14
NaN,15
NaN,16
NaN,17
NaN,18
NaN,19
NaN,20
NaN,21
NaN,22
NaN,23
NaN,24
NaN,25
NaN,26
NaN,27
NaN,28
NaN,29
NaN,30
NaN,31
NaN,32
NaN,33
NaN,34
NaN,35
NaN,36
NaN,37
NaN,38
NaN,39
NaN,40
NaN,41
NaN,42
NaN,43
NaN,44
NaN,45
NaN,46
NaN,47
NaN,48
NaN,49
NaN,50
NaN,51
NaN,52
NaN,53
NaN,54
NaN,55
NaN,56
NaN,57
NaN,58
NaN,59
NaN,60
NaN,61
NaN,62
NaN,63
NaN,64
NaN,65
NaN,66
NaN,67
NaN,68
NaN,69
NaN,70
NaN,71
NaN,72
NaN,73
NaN,74
NaN,75
NaN,76
NaN,77
NaN,78
NaN,79
NaN,80
NaN,81
NaN,82
NaN,83
NaN,84
NaN,85
NaN,86
NaN,87
NaN,88
NaN,89
NaN,90
NaN,91
NaN,92
NaN,93
NaN,94
NaN,95
NaN,96
NaN,97
NaN,98
NaN,99
0.65,100
0.65,101
0.64,102
0.65,103
0.65,104
0.64,105
0.65,106
0.64,107
0.63,108
0.64,109
0.63,110
0.62,111
0.61,112
0.6,113
0.6,114
0.6,115
0.6,116
0.6,117
0.6,118
0.6,119
0.6,120
0.6,121
0.61,122
0.62,123
0.62,124
0.63,125
0.62,126
0.62,127
0.63,128
0.63,129
0.62,130
0.62,131
0.62,132
0.63,133
0.62,134
0.62,135
0.62,136
0.62,137
0.62,138
0.61,139
0.62,140
0.61,141
0.6,142
0.6,143
0.6,144
0.6,145
0.6,146
0.59,147
0.58,148
0.57,149
0.58,150
0.59,151
0.58,152
0.58,153
0.58,154
0.58,155
0.58,156
0.57,157
0.56,158
0.55,159
0.55,160
0.54,161
0.53,162
0.53,163
0.54,164
0.55,165
0.55,166
0.55,167
0.55,168
0.55,169
0.55,170
0.55,171
0.56,172
0.57,173
0.58,174
0.57,175
0.59,176
0.6,177
0.59,178
0.58,179
0.6,180
0.6,181
0.59,182
0.6,183
0.6,184
0.59,185
0.59,186
0.6,187
0.6,188
0.6,189
0.6,190
0.62,191
0.62,192
0.62,193
0.63,194
0.63,195
0.63,196
0.63,197
0.63,198
0.63,199
0.63,200
0.62,201
0.63,202
0.64,203
0.64,204
0.64,205
0.63,206
0.62,207
0.61,208
0.61,209
0.61,210
0.62,211
0.62,212
0.62,213
0.62,214
0.62,215
0.63,216
0.63,217
0.63,218
0.62,219
0.61,220
0.6,221
0.59,222
0.59,223
0.59,224
0.59,225
0.59,226
0.59,227
0.59,228
0.6,229
0.6,230
0.6,231
0.6,232
0.6,233
0.61,234
0.61,235
0.61,236
0.61,237
0.6,238
0.59,239
0.58,240
0.57,241
0.58,242
0.57,243
0.56,244
0.57,245
0.57,246
0.56,247
0.58,248
0.57,249
0.57,250
0.57,251
0.57,252
0.57,253
0.57,254
0.57,255
0.57,256
0.58,257
0.58,258
0.59,259
0.58,260
0.58,261
0.58,262
0.58,263
0.58,264
0.58,265
0.58,266
0.58,267
0.58,268
0.58,269
0.58,270
0.58,271
0.58,272
0.58,273
0.58,274
0.58,275
0.59,276
0.6,277
0.59,278
0.59,279
0.6,280
0.61,281
0.61,282
0.62,283
0.62,284
0.63,285
0.61,286
0.61,287
0.61,288
0.61,289
0.61,290
0.63,291
0.63,292
0.63,293
0.63,294
0.64,295
0.64,296
0.64,297
0.64,298
0.64,299
0.64,300
0.64,301
0.64,302
0.64,303
0.64,304
0.64,305
0.65,306
0.64,307
0.64,308
0.64,309
0.64,310
0.62,311
0.62,312
0.62,313
0.62,314
0.62,315
0.62,316
0.62,317
0.62,318
0.63,319
0.64,320
0.65,321
0.66,322
0.67,323
0.67,324
0.67,325
0.67,326
0.68,327
0.69,328
0.68,329
0.68,330
0.69,331
0.7,332
0.71,333
0.69,334
0.7,335
0.7,336
0.71,337
0.69,338
0.69,339
0.68,340
0.69,341
0.68,342
0.65,343
0.65,344
0.66,345
0.67,346
0.67,347
0.68,348
0.67,349
0.65,350
0.65,351
0.63,352
0.63,353
0.64,354
0.65,355
0.65,356
0.66,357
0.62,358
0.61,359
0.61,360
0.59,361
0.6,362
0.6,363
0.61,364
0.62,365
0.62,366
0.63,367
0.63,368
0.62,369
0.61,370
0.6,371
0.61,372
0.61,373
0.62,374
0.68,375
0.68,376
0.67,377
0.67,378
0.67,379
0.67,380
0.66,381
0.66,382
0.66,383
0.66,384
0.67,385
0.66,386
0.66,387
0.66,388
0.66,389
0.66,390
0.67,391
0.69,392
0.7,393
0.7,394
0.71,395
0.74,396
0.73,397
0.72,398
0.71,399
0.7,400
0.7,401
0.71,402
0.72,403
0.71,404
0.7,405
0.7,406
0.69,407
0.68,408
0.69,409
0.69,410
0.68,411
0.68,412
0.69,413
0.68,414
0.67,415
0.66,416
0.65,417
0.64,418
0.63,419
0.63,420
0.63,421
0.63,422
0.63,423
0.62,424
0.61,425
0.6,426
0.6,427
0.6,428
0.61,429
0.6,430
0.59,431
0.58,432
0.57,433
0.56,434
0.55,435
0.55,436
0.55,437
0.54,438
0.53,439
0.54,440
0.54,441
0.54,442
0.54,443
0.54,444
0.54,445
0.54,446
0.54,447
0.54,448
0.54,449
0.53,450
0.53,451
0.53,452
0.53,453
0.52,454
0.53,455
0.53,456
0.54,457
0.54,458
0.54,459
0.54,460
0.54,461
0.54,462
0.54,463
0.54,464
0.54,465
0.55,466
0.55,467
0.56,468
0.58,469
0.57,470
0.57,471
0.56,472
0.58,473
0.59,474
0.59,475
0.59,476
0.59,477
0.6,478
0.59,479
0.59,480
0.6,481
0.61,482
0.61,483
0.61,484
0.61,485
0.61,486
0.61,487
0.61,488
0.61,489
0.61,490
0.61,491
0.61,492
0.62,493
0.62,494
0.62,495
0.61,496
0.6,497
0.59,498
0.59,499
0.58,500
0.58,501
0.59,502
0.59,503
0.59,504
0.59,505
0.6,506
0.61,507
0.6,508
0.61,509
0.62,510
0.63,511
0.63,512
0.62,513
0.62,514
0.63,515
0.64,516
0.63,517
0.62,518
0.61,519
0.61,520
0.59,521
0.61,522
0.62,523
0.63,524
0.63,525
0.63,526
0.63,527
0.67,528
0.68,529
0.69,530
0.68,531
0.68,532
0.68,533
0.67,534
0.67,535
0.7,536
0.69,537
0.68,538
0.67,539
0.67,540
0.66,541
0.65,542
0.64,543
0.63,544
0.63,545
0.62,546
0.62,547
0.61,548
0.61,549
0.6,550
0.6,551
0.6,552
0.6,553
0.6,554
0.6,555
0.6,556
0.6,557
0.6,558
0.6,559
0.6,560
0.6,561
0.6,562
0.6,563
0.6,564
0.6,565
0.6,566
0.6,567
0.6,568
0.61,569
0.6,570
0.6,571
0.6,572
0.6,573
0.6,574
0.6,575
0.6,576
0.6,577
0.6,578
0.6,579
0.6,580
0.6,581
0.6,582
0.6,583
0.6,584
0.6,585
0.6,586
0.6,587
0.6,588
0.6,589
0.6,590
0.6,591
0.6,592
0.6,593
0.61,594
0.61,595
0.62,596
0.63,597
0.64,598
0.65,599
0.66,600
0.67,601
0.66,602
0.65,603
0.65,604
0.64,605
0.64,606
0.63,607
0.63,608
0.63,609
0.64,610
0.63,611
0.63,612
0.63,613
0.63,614
0.63,615
0.63,616
0.64,617
