@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Zero-crossing rate' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.1923828125,2
0.23828125,3
0.4091796875,4
0.65625,5
0.67578125,6
0.693359375,7
0.673828125,8
0.62109375,9
0.68359375,10
0.716796875,11
0.740234375,12
0.68359375,13
0.67578125,14
0.705078125,15
0.728515625,16
0.74609375,17
0.67578125,18
0.724609375,19
0.669921875,20
0.697265625,21
0.703125,22
0.6796875,23
0.701171875,24
0.68359375,25
0.689453125,26
0.71875,27
0.693359375,28
0.681640625,29
0.314453125,30
0.388671875,31
0.22265625,32
0.23046875,33
0.24609375,34
0.40625,35
0.55859375,36
0.59765625,37
0.4296875,38
0.431640625,39
0.458984375,40
0.33203125,41
0.23046875,42
0.150390625,43
0.248046875,44
0.36328125,45
0.275390625,46
0.09375,47
0.181640625,48
0.25,49
0.15625,50
0.181640625,51
0.138671875,52
0.220703125,53
0.265625,54
0.173828125,55
0.1640625,56
0.17578125,57
0.203125,58
0.37109375,59
0.443359375,60
0.244140625,61
0.1171875,62
0.234375,63
0.103515625,64
0.12109375,65
0.130859375,66
0.177734375,67
0.24609375,68
0.16015625,69
0.22265625,70
0.150390625,71
0.185546875,72
0.26171875,73
0.28515625,74
0.166015625,75
0.17578125,76
0.171875,77
0.150390625,78
0.091796875,79
0.140625,80
0.080078125,81
0.119140625,82
0.10546875,83
0.12890625,84
0.130859375,85
0.123046875,86
0.208984375,87
0.193359375,88
0.099609375,89
0.10546875,90
0.181640625,91
0.125,92
0.119140625,93
0.21875,94
0.126953125,95
0.04296875,96
0.08984375,97
0.029296875,98
0.056640625,99
0.052734375,100
0.076171875,101
0.029296875,102
0.025390625,103
0.015625,104
0.03515625,105
0.103515625,106
0.029296875,107
0.041015625,108
0.1953125,109
0.140625,110
0.1796875,111
0.119140625,112
0.08203125,113
0.029296875,114
0.025390625,115
0.013671875,116
0.01171875,117
0.005859375,118
0.005859375,119
0.005859375,120
0.01171875,121
0.013671875,122
0.021484375,123
0.015625,124
0.00390625,125
0.005859375,126
0.005859375,127
0.0078125,128
0.00390625,129
0.01171875,130
0.078125,131
0.068359375,132
0.017578125,133
0.015625,134
0.0078125,135
0.013671875,136
0.0078125,137
0.009765625,138
0.005859375,139
0.005859375,140
0.021484375,141
0.017578125,142
0.009765625,143
0.005859375,144
0.005859375,145
0.00390625,146
0.0234375,147
0.01171875,148
0.04296875,149
0.09765625,150
0.03125,151
0.015625,152
0.0078125,153
0.005859375,154
0.005859375,155
0.005859375,156
0.005859375,157
0.005859375,158
0.005859375,159
0.01171875,160
0.015625,161
0.005859375,162
0.005859375,163
0.005859375,164
0.005859375,165
0.005859375,166
0.005859375,167
0.068359375,168
0.07421875,169
0.015625,170
0.037109375,171
0.0078125,172
0.013671875,173
0.01171875,174
0.0078125,175
0.00390625,176
0.005859375,177
0.009765625,178
0.021484375,179
0.005859375,180
0.005859375,181
0.005859375,182
0.00390625,183
0.015625,184
0.03125,185
0.0859375,186
0.060546875,187
0.01953125,188
0.015625,189
0.0078125,190
0.0078125,191
0.005859375,192
0.00390625,193
0.005859375,194
0.005859375,195
0.005859375,196
0.025390625,197
0.013671875,198
0.005859375,199
0.005859375,200
0.005859375,201
0.005859375,202
0.005859375,203
0.005859375,204
0.068359375,205
0.083984375,206
0.017578125,207
0.0390625,208
0.005859375,209
0.009765625,210
0.013671875,211
0.005859375,212
0.00390625,213
0.00390625,214
0.01953125,215
0.01171875,216
0.0078125,217
0.005859375,218
0.009765625,219
0.0078125,220
0.005859375,221
0.005859375,222
0.048828125,223
0.05859375,224
0.03125,225
0.015625,226
0.005859375,227
0.0078125,228
0.005859375,229
0.005859375,230
0.00390625,231
0.005859375,232
0.009765625,233
0.021484375,234
0.009765625,235
0.005859375,236
0.005859375,237
0.005859375,238
0.005859375,239
0.005859375,240
0.005859375,241
0.05859375,242
0.0859375,243
0.017578125,244
0.0390625,245
0.005859375,246
0.015625,247
0.01171875,248
0.005859375,249
0.005859375,250
0.005859375,251
0.017578125,252
0.013671875,253
0.005859375,254
0.005859375,255
0.00390625,256
0.005859375,257
0.005859375,258
0.0078125,259
0.083984375,260
0.037109375,261
0.041015625,262
0.009765625,263
0.0078125,264
0.005859375,265
0.005859375,266
0.005859375,267
0.005859375,268
0.00390625,269
0.005859375,270
0.03125,271
0.01171875,272
0.0078125,273
0.00390625,274
0.0078125,275
0.00390625,276
0.0078125,277
0.005859375,278
0.078125,279
0.07421875,280
0.03125,281
0.01953125,282
0.0078125,283
0.009765625,284
0.01171875,285
0.005859375,286
0.005859375,287
0.005859375,288
0.013671875,289
0.021484375,290
0.005859375,291
0.005859375,292
0.00390625,293
0.005859375,294
0.017578125,295
0.009765625,296
0.015625,297
0.005859375,298
0.005859375,299
0.0078125,300
0.00390625,301
0.005859375,302
0.009765625,303
0.01171875,304
0.01171875,305
0.015625,306
0.009765625,307
0.005859375,308
0.005859375,309
0.005859375,310
0.009765625,311
0.005859375,312
0.005859375,313
0.005859375,314
0.005859375,315
0.005859375,316
0.0078125,317
0.01171875,318
0.005859375,319
0.021484375,320
0.0078125,321
0.005859375,322
0.005859375,323
0.005859375,324
0.009765625,325
0.005859375,326
0.005859375,327
0.005859375,328
0.005859375,329
0.00390625,330
0.009765625,331
0.005859375,332
0.013671875,333
0.013671875,334
0.0078125,335
0.005859375,336
0.005859375,337
0.005859375,338
0.0078125,339
0.013671875,340
0.005859375,341
0.013671875,342
0.015625,343
0.009765625,344
0.005859375,345
0.005859375,346
0.005859375,347
0.009765625,348
0.005859375,349
0.005859375,350
0.005859375,351
0.005859375,352
0.005859375,353
0.0078125,354
0.01171875,355
0.01171875,356
0.015625,357
0.0078125,358
0.00390625,359
0.0078125,360
0.00390625,361
0.01171875,362
0.00390625,363
0.0078125,364
0.00390625,365
0.0078125,366
0.01171875,367
0.005859375,368
0.005859375,369
0.00390625,370
0.080078125,371
0.04296875,372
0.0234375,373
0.005859375,374
0.0078125,375
0.005859375,376
0.005859375,377
0.005859375,378
0.00390625,379
0.005859375,380
0.013671875,381
0.025390625,382
0.005859375,383
0.005859375,384
0.005859375,385
0.005859375,386
0.005859375,387
0.005859375,388
0.029296875,389
0.068359375,390
0.0546875,391
0.02734375,392
0.01953125,393
0.01171875,394
0.01171875,395
0.009765625,396
0.005859375,397
0.005859375,398
0.009765625,399
0.025390625,400
0.009765625,401
0.005859375,402
0.005859375,403
0.00390625,404
0.005859375,405
0.005859375,406
0.015625,407
0.103515625,408
0.029296875,409
0.017578125,410
0.005859375,411
0.0078125,412
0.005859375,413
0.005859375,414
0.005859375,415
0.00390625,416
0.005859375,417
0.009765625,418
0.01953125,419
0.01171875,420
0.00390625,421
0.0078125,422
0.00390625,423
0.0078125,424
0.005859375,425
0.04296875,426
0.076171875,427
0.04296875,428
0.04296875,429
0.009765625,430
0.01171875,431
0.013671875,432
0.0078125,433
0.005859375,434
0.005859375,435
0.009765625,436
0.013671875,437
0.009765625,438
0.005859375,439
0.005859375,440
0.00390625,441
0.005859375,442
0.015625,443
0.015625,444
0.09765625,445
0.03515625,446
0.021484375,447
0.0078125,448
0.005859375,449
0.005859375,450
0.005859375,451
0.005859375,452
0.005859375,453
0.00390625,454
0.01953125,455
0.013671875,456
0.005859375,457
0.005859375,458
0.005859375,459
0.005859375,460
0.005859375,461
0.005859375,462
0.05078125,463
0.080078125,464
0.017578125,465
0.03125,466
0.015625,467
0.009765625,468
0.009765625,469
0.009765625,470
0.00390625,471
0.005859375,472
0.009765625,473
0.017578125,474
0.009765625,475
0.005859375,476
0.005859375,477
0.005859375,478
0.005859375,479
0.01953125,480
0.02734375,481
0.1015625,482
0.029296875,483
0.017578125,484
0.005859375,485
0.0078125,486
0.005859375,487
0.005859375,488
0.00390625,489
0.005859375,490
0.005859375,491
0.013671875,492
0.029296875,493
0.005859375,494
0.005859375,495
0.005859375,496
0.005859375,497
0.005859375,498
0.005859375,499
0.060546875,500
0.0859375,501
0.0234375,502
0.025390625,503
0.015625,504
0.009765625,505
0.009765625,506
0.009765625,507
0.005859375,508
0.00390625,509
0.005859375,510
0.015625,511
0.009765625,512
0.005859375,513
0.0078125,514
0.009765625,515
0.005859375,516
0.005859375,517
0.00390625,518
0.1015625,519
0.03515625,520
0.021484375,521
0.005859375,522
0.0078125,523
0.005859375,524
0.005859375,525
0.005859375,526
0.00390625,527
0.009765625,528
0.021484375,529
0.009765625,530
0.005859375,531
0.005859375,532
0.005859375,533
0.005859375,534
0.00390625,535
0.0078125,536
0.048828125,537
0.09375,538
0.013671875,539
0.0390625,540
0.009765625,541
0.013671875,542
0.009765625,543
0.009765625,544
0.005859375,545
0.005859375,546
0.009765625,547
0.017578125,548
0.009765625,549
0.005859375,550
0.005859375,551
0.00390625,552
0.005859375,553
0.009765625,554
0.041015625,555
0.078125,556
0.03515625,557
0.01953125,558
0.0078125,559
0.005859375,560
0.005859375,561
0.005859375,562
0.005859375,563
0.00390625,564
0.0078125,565
0.0234375,566
0.01953125,567
0.00390625,568
0.0078125,569
0.00390625,570
0.0078125,571
0.005859375,572
0.005859375,573
0.06640625,574
0.083984375,575
0.0234375,576
0.033203125,577
0.0078125,578
0.009765625,579
0.009765625,580
0.0078125,581
0.005859375,582
0.005859375,583
0.013671875,584
0.01953125,585
0.0078125,586
0.005859375,587
0.005859375,588
0.00390625,589
0.013671875,590
0.0078125,591
0.091796875,592
0.072265625,593
0.0390625,594
0.015625,595
0.0078125,596
0.005859375,597
0.005859375,598
0.005859375,599
0.005859375,600
0.005859375,601
0.009765625,602
0.021484375,603
0.009765625,604
0.005859375,605
0.005859375,606
0.005859375,607
0.005859375,608
0.005859375,609
0.005859375,610
0.064453125,611
0.083984375,612
0.013671875,613
0.029296875,614
0.0078125,615
0.009765625,616
0.013671875,617
0.005859375,618
0.00390625,619
0.005859375,620
0.013671875,621
0.029296875,622
0.0078125,623
0.00390625,624
0.005859375,625
0.00390625,626
0.01171875,627
0.005859375,628
0.0703125,629
0.060546875,630
0.0234375,631
0.017578125,632
0.005859375,633
0.0078125,634
0.005859375,635
0.00390625,636
0.005859375,637
0.005859375,638
0.005859375,639
0.029296875,640
0.017578125,641
0.005859375,642
0.005859375,643
0.005859375,644
0.005859375,645
0.005859375,646
0.005859375,647
0.0703125,648
0.0703125,649
0.017578125,650
0.02734375,651
0.005859375,652
0.013671875,653
0.013671875,654
0.005859375,655
0.005859375,656
0.00390625,657
0.01171875,658
0.017578125,659
0.005859375,660
0.005859375,661
0.009765625,662
0.0078125,663
0.005859375,664
0.005859375,665
0.04296875,666
0.064453125,667
0.01953125,668
0.015625,669
0.0078125,670
0.005859375,671
0.005859375,672
0.005859375,673
0.00390625,674
0.005859375,675
0.025390625,676
0.0703125,677
0.08203125,678
0.033203125,679
0.0078125,680
0.013671875,681
0.009765625,682
0.0078125,683
0.005859375,684
0.0703125,685
0.083984375,686
0.01171875,687
0.03515625,688
0.009765625,689
0.005859375,690
0.00390625,691
0.005859375,692
0.00390625,693
0.025390625,694
0.103515625,695
0.06640625,696
0.044921875,697
0.021484375,698
0.0078125,699
0.009765625,700
0.013671875,701
0.015625,702
0.0859375,703
0.05859375,704
0.01171875,705
0.013671875,706
0.0078125,707
0.005859375,708
0.005859375,709
0.005859375,710
0.005859375,711
0.00390625,712
0.025390625,713
0.072265625,714
0.0859375,715
0.0234375,716
0.013671875,717
0.009765625,718
0.0078125,719
0.009765625,720
0.0078125,721
0.072265625,722
0.06640625,723
0.029296875,724
0.015625,725
0.0078125,726
0.005859375,727
0.005859375,728
0.00390625,729
0.005859375,730
0.029296875,731
0.083984375,732
0.087890625,733
0.046875,734
0.025390625,735
0.0078125,736
0.009765625,737
0.015625,738
0.017578125,739
0.09375,740
0.072265625,741
0.01171875,742
0.01953125,743
0.005859375,744
0.0078125,745
0.00390625,746
0.005859375,747
0.005859375,748
0.0078125,749
0.025390625,750
0.12109375,751
0.064453125,752
0.0234375,753
0.013671875,754
0.009765625,755
0.0078125,756
0.009765625,757
0.0078125,758
0.083984375,759
0.0625,760
0.02734375,761
0.01953125,762
0.005859375,763
0.005859375,764
0.005859375,765
0.00390625,766
0.005859375,767
0.037109375,768
0.08203125,769
0.072265625,770
0.056640625,771
0.01953125,772
0.009765625,773
0.00390625,774
0.015625,775
0.013671875,776
0.173828125,777
0.044921875,778
0.01953125,779
0.009765625,780
0.0078125,781
0.005859375,782
0.005859375,783
0.00390625,784
0.005859375,785
0.021484375,786
0.037109375,787
0.107421875,788
0.03515625,789
0.021484375,790
0.009765625,791
0.0078125,792
0.009765625,793
0.0078125,794
0.02734375,795
0.06640625,796
0.05859375,797
0.02734375,798
0.0234375,799
0.005859375,800
0.005859375,801
0.005859375,802
0.005859375,803
0.00390625,804
0.033203125,805
0.087890625,806
0.07421875,807
0.056640625,808
0.009765625,809
0.013671875,810
0.0078125,811
0.0078125,812
0.009765625,813
0.0859375,814
0.078125,815
0.015625,816
0.009765625,817
0.0078125,818
0.005859375,819
0.005859375,820
0.005859375,821
0.00390625,822
0.021484375,823
0.06640625,824
0.080078125,825
0.0390625,826
0.025390625,827
0.013671875,828
0.0078125,829
0.009765625,830
0.0078125,831
0.044921875,832
0.0703125,833
0.05078125,834
0.03125,835
0.015625,836
0.0078125,837
0.005859375,838
0.00390625,839
0.005859375,840
0.005859375,841
0.03125,842
0.087890625,843
0.068359375,844
0.0546875,845
0.009765625,846
0.005859375,847
0.009765625,848
0.013671875,849
0.025390625,850
0.1171875,851
0.052734375,852
0.0234375,853
0.009765625,854
0.005859375,855
0.005859375,856
0.005859375,857
0.005859375,858
0.00390625,859
0.017578125,860
0.080078125,861
0.0546875,862
0.037109375,863
0.01953125,864
0.017578125,865
0.009765625,866
0.0078125,867
0.01171875,868
0.044921875,869
0.0859375,870
0.03515625,871
0.02734375,872
0.01953125,873
0.005859375,874
0.005859375,875
0.005859375,876
0.00390625,877
0.005859375,878
0.041015625,879
0.078125,880
0.091796875,881
0.05859375,882
0.00390625,883
0.013671875,884
0.005859375,885
0.015625,886
0.033203125,887
0.150390625,888
0.05078125,889
0.0234375,890
0.005859375,891
0.005859375,892
0.0078125,893
0.00390625,894
0.005859375,895
0.005859375,896
0.01171875,897
0.095703125,898
0.0703125,899
0.044921875,900
0.01953125,901
0.015625,902
0.0078125,903
0.009765625,904
0.009765625,905
0.0625,906
0.0703125,907
0.017578125,908
0.021484375,909
0.015625,910
0.005859375,911
0.005859375,912
0.005859375,913
0.00390625,914
0.005859375,915
0.025390625,916
0.087890625,917
0.109375,918
0.0234375,919
0.009765625,920
0.0078125,921
0.0078125,922
0.013671875,923
0.0234375,924
0.1171875,925
0.0390625,926
0.017578125,927
0.005859375,928
0.0078125,929
0.005859375,930
0.005859375,931
0.00390625,932
0.005859375,933
0.025390625,934
0.068359375,935
0.076171875,936
0.0390625,937
0.021484375,938
0.013671875,939
0.0078125,940
0.01171875,941
0.009765625,942
0.056640625,943
0.080078125,944
0.0234375,945
0.03515625,946
0.01171875,947
0.0078125,948
0.00390625,949
0.005859375,950
0.005859375,951
0.00390625,952
0.037109375,953
0.109375,954
0.080078125,955
0.01953125,956
0.013671875,957
0.0078125,958
0.0078125,959
0.009765625,960
0.0078125,961
0.109375,962
0.060546875,963
0.015625,964
0.01171875,965
0.005859375,966
0.005859375,967
0.005859375,968
0.005859375,969
0.00390625,970
0.025390625,971
0.07421875,972
0.060546875,973
0.04296875,974
0.025390625,975
0.013671875,976
0.009765625,977
0.009765625,978
0.009765625,979
0.06640625,980
0.0859375,981
0.013671875,982
0.02734375,983
0.013671875,984
0.0078125,985
0.005859375,986
0.00390625,987
0.005859375,988
0.025390625,989
0.01953125,990
0.140625,991
0.046875,992
0.021484375,993
0.0078125,994
0.009765625,995
0.009765625,996
0.013671875,997
0.125,998
0.07421875,999
0.03125,1000
0.015625,1001
0.0078125,1002
0.005859375,1003
0.005859375,1004
0.005859375,1005
0.005859375,1006
0.00390625,1007
0.025390625,1008
0.068359375,1009
0.0625,1010
0.037109375,1011
0.01953125,1012
0.013671875,1013
0.01171875,1014
0.009765625,1015
0.0078125,1016
0.068359375,1017
0.076171875,1018
0.015625,1019
0.033203125,1020
0.0078125,1021
0.005859375,1022
