@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-1.0,1
5477.9546,2
5614.409,3
6619.252,4
6800.8916,5
6968.099,6
6869.5493,7
7079.5044,8
6896.9404,9
6990.3184,10
7272.581,11
7185.634,12
7239.411,13
7029.2295,14
6959.724,15
7184.2017,16
7416.4224,17
7079.5884,18
7238.9043,19
7175.1978,20
7184.279,21
7175.6963,22
7359.912,23
7263.3247,24
7351.1323,25
7181.4473,26
7432.6406,27
7435.6973,28
7337.98,29
4889.66,30
5662.54,31
6079.8936,32
5971.414,33
5784.994,34
6638.276,35
6827.119,36
6758.35,37
6542.0605,38
5297.61,39
5980.5244,40
5407.5054,41
5115.3916,42
5165.8735,43
5394.787,44
5442.359,45
5200.5,46
4995.6636,47
4749.101,48
5469.875,49
4712.2056,50
5311.589,51
4592.7104,52
4033.2104,53
4875.183,54
5589.2466,55
5500.5767,56
4976.943,57
5172.9478,58
5440.813,59
5660.346,60
4806.2144,61
4692.0938,62
4292.7773,63
4051.518,64
3957.7405,65
3712.5173,66
3937.9888,67
5013.9214,68
5173.644,69
5321.3096,70
4825.34,71
5752.0166,72
4913.672,73
5278.8237,74
4841.4556,75
3653.6438,76
4630.4824,77
4879.5835,78
4236.389,79
4960.3604,80
5123.461,81
4866.2397,82
5216.972,83
5386.975,84
5289.378,85
4473.633,86
4989.224,87
5169.954,88
4877.443,89
3806.1477,90
4282.122,91
4120.423,92
4413.987,93
3496.8462,94
3685.5947,95
3114.0144,96
4485.12,97
3063.223,98
2704.872,99
3165.3447,100
2827.2344,101
2370.7283,102
2800.479,103
2382.3372,104
3239.8362,105
2512.6577,106
3052.7202,107
3183.9495,108
4933.4844,109
3809.4592,110
4145.782,111
4409.76,112
2300.857,113
2168.962,114
1603.3123,115
806.4052,116
1009.9953,117
872.35394,118
932.123,119
929.9045,120
1239.8264,121
1426.15,122
1558.2399,123
1359.6475,124
758.4023,125
856.0543,126
598.4619,127
727.3454,128
593.1824,129
728.0549,130
2769.1902,131
3054.6426,132
2119.9739,133
2632.8098,134
1238.5819,135
746.3121,136
591.70746,137
419.03125,138
281.82642,139
365.3002,140
1436.746,141
1609.6239,142
486.87646,143
352.34985,144
439.68887,145
1333.4473,146
1471.9182,147
1198.3494,148
2041.3441,149
2128.0767,150
1730.9259,151
1304.4584,152
558.5446,153
245.70895,154
143.87552,155
136.674,156
138.77205,157
175.09514,158
1417.2332,159
1536.7455,160
1022.2178,161
220.44737,162
263.76282,163
332.56116,164
244.71848,165
228.69737,166
218.94664,167
2659.2773,168
3376.4177,169
2245.426,170
2333.8972,171
1130.2805,172
743.22375,173
488.15192,174
367.23685,175
172.02615,176
380.6173,177
1654.2231,178
1480.4371,179
406.77872,180
203.14966,181
216.31279,182
422.24216,183
648.59503,184
1122.1047,185
3035.4917,186
1934.2969,187
1458.3704,188
1172.0259,189
551.5281,190
205.60945,191
119.120026,192
105.26239,193
96.31913,194
111.18477,195
1232.9294,196
1508.0885,197
869.93726,198
194.63885,199
377.0203,200
311.19714,201
243.39136,202
205.27747,203
203.25133,204
2653.5479,205
3344.2507,206
2271.7058,207
2246.9885,208
1107.3131,209
716.38135,210
417.1154,211
265.19095,212
234.78156,213
680.1574,214
1918.2804,215
1227.2477,216
329.45273,217
208.19647,218
414.15576,219
263.13828,220
210.61552,221
178.58809,222
2047.9438,223
1798.8423,224
1288.8975,225
1182.4211,226
551.4713,227
183.25697,228
116.753,229
101.74185,230
95.46316,231
109.734,232
1336.6608,233
1643.2008,234
537.7534,235
183.87256,236
496.09143,237
288.09616,238
247.35358,239
193.66273,240
204.57477,241
2595.1555,242
3193.8262,243
2272.0193,244
2155.3018,245
1014.70953,246
736.10504,247
399.29813,248
281.3537,249
162.66919,250
742.8229,251
1873.8085,252
1210.9858,253
425.45667,254
191.2908,255
278.6784,256
350.14673,257
787.59875,258
690.13385,259
3090.4546,260
1758.5011,261
1138.5581,262
1201.7457,263
526.6455,264
169.95412,265
116.281815,266
98.277,267
94.517746,268
110.37008,269
1189.5581,270
1911.4766,271
423.39,272
172.7668,273
575.2503,274
255.50902,275
243.07573,276
