@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.49594218,2
0.53332806,3
0.7431544,4
0.93657124,5
0.8697665,6
0.8454916,7
0.89660066,8
0.990465,9
0.91795236,10
0.7843024,11
0.76270354,12
0.8536085,13
0.8517177,14
0.8866553,15
0.7838779,16
0.749238,17
0.88963825,18
0.7797387,19
0.8848695,20
0.86395025,21
0.84811735,22
0.87381077,23
0.8494754,24
0.8232597,25
0.80567795,26
0.826665,27
0.8696877,28
0.8441732,29
0.92107356,30
0.8082319,31
0.76415515,32
0.82080877,33
0.85731864,34
0.84149694,35
0.8997061,36
0.92670393,37
0.9089758,38
0.90413517,39
0.8426998,40
0.92936534,41
0.8595935,42
0.9545964,43
0.87925774,44
0.9711752,45
1.0060703,46
1.014378,47
1.0218829,48
0.9920343,49
1.0909653,50
1.0447103,51
1.0377369,52
1.1347967,53
0.9095612,54
0.86253214,55
0.8955412,56
0.93433964,57
0.95212936,58
0.9829094,59
1.0414745,60
1.0359615,61
1.2148589,62
1.2053651,63
1.2176086,64
1.2236437,65
1.2857804,66
1.1008922,67
0.8243721,68
0.88331026,69
0.93265724,70
0.95761603,71
0.91218346,72
0.990442,73
1.0393577,74
1.0422789,75
1.0481651,76
0.92978466,77
0.8503263,78
0.9528255,79
0.8209067,80
0.93702424,81
0.8507217,82
0.834791,83
0.83444023,84
0.843092,85
0.7567147,86
0.7880355,87
0.93446326,88
0.83281976,89
0.834531,90
0.8954734,91
0.8508025,92
0.9421495,93
1.1280094,94
1.0438347,95
1.0310317,96
0.96799415,97
0.85678494,98
0.9112673,99
0.88970536,100
0.8977402,101
0.9690416,102
0.9950764,103
0.9575248,104
1.000138,105
0.9801453,106
0.967638,107
1.0177519,108
1.000628,109
1.146021,110
0.9801888,111
1.0105526,112
1.3475127,113
1.1772876,114
1.3455158,115
1.5281177,116
1.5054076,117
1.5421209,118
1.4565177,119
1.3817247,120
1.2318581,121
1.4315677,122
1.0597738,123
1.5028647,124
1.4737206,125
1.6833488,126
1.6723212,127
1.945476,128
1.752447,129
1.8284153,130
1.4731408,131
1.2861491,132
1.2426159,133
1.1809582,134
1.4538734,135
1.8839862,136
2.143112,137
2.4008317,138
2.3930385,139
2.3462276,140
1.2508917,141
1.4170595,142
2.1729758,143
2.4197063,144
2.004809,145
1.5192643,146
1.5570195,147
1.6145984,148
1.5457814,149
1.3174769,150
1.1885523,151
1.384388,152
2.0898042,153
2.6716359,154
2.9171891,155
2.8885093,156
2.9505858,157
2.8449218,158
1.9378887,159
1.0989517,160
2.2011874,161
2.8486886,162
2.7634437,163
2.8935666,164
2.9411798,165
2.8847554,166
2.8750484,167
1.8297706,168
1.2385504,169
1.2306192,170
1.2469258,171
1.5745552,172
2.0260565,173
2.3632374,174
2.6900504,175
2.837342,176
2.5973125,177
1.2577204,178
1.3460997,179
2.6554067,180
2.8915648,181
2.6431293,182
2.2208223,183
2.061965,184
1.8664855,185
1.7355969,186
1.3290398,187
1.2308128,188
1.4072005,189
2.1118066,190
2.8270483,191
3.0067976,192
3.0009682,193
3.0443614,194
3.0104663,195
1.7784865,196
1.1616063,197
2.3708117,198
2.936149,199
2.8261287,200
2.9809313,201
3.004154,202
2.967634,203
2.909008,204
1.7276555,205
1.27923,206
1.2119114,207
1.2611423,208
1.5860691,209
2.131475,210
2.3778515,211
2.6770096,212
2.8418322,213
2.3874137,214
1.2317288,215
1.4771665,216
2.756644,217
2.8263936,218
2.8531337,219
2.996714,220
2.9895368,221
2.9659367,222
2.5713189,223
1.2289885,224
1.2356987,225
1.5222679,226
2.160248,227
2.8341978,228
3.0081031,229
3.0033917,230
3.0492027,231
2.979586,232
1.6427852,233
1.2188979,234
2.4965668,235
2.9385273,236
2.8078053,237
2.9926684,238
2.9915388,239
2.9601243,240
2.9007819,241
1.6897086,242
1.3079573,243
1.2072448,244
1.3367416,245
1.6039976,246
2.186878,247
2.3814902,248
2.6613274,249
2.878892,250
2.3295355,251
1.2355906,252
1.4609672,253
2.7486181,254
2.9018116,255
2.4562633,256
2.3614352,257
1.9603449,258
1.8886594,259
1.7062262,260
1.2174134,261
1.2332879,262
1.5066291,263
2.3040533,264
2.823548,265
2.9763017,266
3.0578299,267
3.04519,268
2.8810604,269
1.5464021,270
