@RELATION 'Music feature'
%rows=1
%columns=12922
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
2.1429154E-5,2
2.5464225E-5,3
0.0013570221,4
0.008710708,5
0.015152057,6
0.019454375,7
0.025406733,8
0.02759689,9
0.037263695,10
0.047899213,11
0.056682166,12
0.06002047,13
0.05997975,14
0.06709991,15
0.07151611,16
0.09131557,17
0.09799108,18
0.10735415,19
0.114977956,20
0.12325689,21
0.12757184,22
0.14349523,23
0.14145423,24
0.15325832,25
0.16360007,26
0.19407894,27
0.21607998,28
0.22994168,29
0.30899337,30
0.39203367,31
0.4000495,32
0.34994376,33
0.34334674,34
0.38474566,35
0.40105873,36
0.410356,37
0.3905391,38
0.45920908,39
0.547396,40
0.4334773,41
0.36400968,42
0.21178438,43
0.22056434,44
0.18475986,45
0.15310028,46
0.14140627,47
0.11578581,48
0.1259765,49
0.12143057,50
0.12112065,51
0.10339176,52
0.23391521,53
0.25773168,54
0.27277917,55
0.24730502,56
0.20986898,57
0.17642297,58
0.15319458,59
0.12728532,60
0.11641894,61
0.09130326,62
0.083784156,63
0.07752085,64
0.071633115,65
0.083817706,66
0.20188601,67
0.26663604,68
0.26143944,69
0.23529328,70
0.20407313,71
0.18267483,72
0.15304075,73
0.12330852,74
0.1060202,75
0.27690032,76
0.33956236,77
0.3852704,78
0.3380525,79
0.3512718,80
0.37727714,81
0.3312983,82
0.33815786,83
0.31147793,84
0.2807388,85
0.2839332,86
0.27684343,87
0.24949682,88
0.22094266,89
0.2140101,90
0.20621501,91
0.19666673,92
0.17062828,93
0.2315111,94
0.21403356,95
0.17477603,96
0.15441008,97
0.13541165,98
0.124582656,99
0.12016638,100
0.10414472,101
0.09427972,102
0.08612937,103
0.09653616,104
0.08629122,105
0.07394963,106
0.061063502,107
0.057639558,108
0.055930384,109
0.045269422,110
0.042415325,111
0.0406044,112
0.15238467,113
0.074563645,114
0.052288648,115
0.034738272,116
0.029201638,117
0.027328169,118
0.026465109,119
0.024627848,120
0.02027938,121
0.028348276,122
0.047633953,123
0.024148181,124
0.015282469,125
0.014584998,126
0.0180974,127
0.017062524,128
0.012316839,129
0.013068287,130
0.12549557,131
0.11637021,132
0.1004657,133
0.06869029,134
0.038286883,135
0.024239736,136
0.016210815,137
0.015910003,138
0.01265695,139
0.014484608,140
0.041524947,141
0.03126924,142
0.009527834,143
0.009532486,144
0.0048657767,145
0.0027934224,146
0.0027573886,147
0.0025427735,148
0.021167586,149
0.14495808,150
0.06677959,151
0.04153131,152
0.02412845,153
0.014454851,154
0.015216721,155
0.011545401,156
0.011147046,157
0.006851485,158
0.027139537,159
0.04219468,160
0.016656037,161
0.007610169,162
0.008228197,163
0.012909492,164
0.012755592,165
0.008090619,166
0.007883958,167
0.12690622,168
0.12173334,169
0.094451025,170
0.062336016,171
0.034493644,172
0.022358513,173
0.014567207,174
0.015479939,175
0.010541455,176
0.015131887,177
0.043842543,178
0.03127079,179
0.009942702,180
0.006946627,181
0.0033105884,182
6.3790113E-4,183
5.364507E-4,184
3.9229626E-4,185
0.0555026,186
0.11235343,187
0.062156655,188
0.039035648,189
0.022512585,190
0.015775705,191
0.014744664,192
0.010721968,193
0.0104127815,194
0.0069047813,195
0.029069163,196
0.04037593,197
0.015187829,198
0.0074644373,199
0.0077561163,200
0.013379751,201
0.012507494,202
0.008322667,203
0.0074464236,204
0.14057958,205
0.11677283,206
0.096442275,207
0.058954976,208
0.03267968,209
0.022021262,210
0.014798566,211
0.013884289,212
0.01216812,213
0.015999133,214
0.04593887,215
0.022743713,216
0.010320888,217
0.0062338538,218
0.011599339,219
0.0106050195,220
0.00903061,221
0.008920696,222
0.0753657,223
0.106503636,224
0.062243473,225
0.037372544,226
0.021941537,227
0.015588856,228
0.0139611475,229
0.011346892,230
0.009381707,231
0.006458766,232
0.03424163,233
0.037922982,234
0.013037075,235
0.0077135875,236
0.008139748,237
0.014773361,238
0.010266972,239
0.009317392,240
0.0061761113,241
0.14668061,242
