@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-1.0,1
-1.0,2
-1.0,3
-1.0,4
5466.111,5
5367.8174,6
5605.9326,7
5438.257,8
5597.0615,9
5511.3193,10
4172.017,11
3316.676,12
4624.7183,13
2880.925,14
3516.7075,15
3888.883,16
4027.3684,17
4405.719,18
3925.4531,19
3958.7034,20
3221.4392,21
3583.243,22
3498.9924,23
3173.0618,24
2652.1494,25
2201.7446,26
1547.1841,27
2551.5447,28
3295.8982,29
3393.1082,30
3363.5,31
3366.4536,32
3424.5981,33
3189.8328,34
3047.3806,35
1919.6372,36
1549.7966,37
2115.2043,38
2880.9348,39
2723.988,40
2301.2202,41
1787.0895,42
2370.4507,43
2805.8777,44
3388.4453,45
3308.7183,46
3047.664,47
3497.1665,48
3411.217,49
3136.8564,50
2814.9998,51
2647.3896,52
2126.4417,53
2724.4307,54
3067.4382,55
3249.299,56
2196.8877,57
1425.1023,58
1407.8893,59
2521.697,60
3065.1326,61
3512.2468,62
3461.739,63
3512.556,64
3509.1343,65
3072.8967,66
3283.8354,67
2615.3142,68
1672.7056,69
2435.8162,70
2868.6821,71
2829.3528,72
2127.112,73
1253.1162,74
768.18585,75
1256.0868,76
2460.945,77
2874.64,78
2927.7188,79
2870.1355,80
2666.8726,81
2919.283,82
3058.847,83
2860.825,84
1582.6171,85
1529.9518,86
2804.9534,87
3137.9116,88
4396.55,89
2303.8547,90
2749.6663,91
2269.2148,92
3039.5923,93
3069.453,94
3249.5227,95
2553.708,96
2222.5527,97
2576.4258,98
3239.941,99
4343.835,100
3082.7378,101
3505.838,102
3334.8518,103
3748.3757,104
3690.7744,105
3538.1982,106
2774.2803,107
2710.8555,108
2850.039,109
3134.7961,110
2868.881,111
2483.4128,112
2136.3406,113
2330.803,114
2972.6624,115
3478.6787,116
3553.392,117
3722.637,118
3551.3943,119
3344.045,120
3276.0974,121
2856.803,122
2120.52,123
2218.9722,124
2735.3665,125
3014.4695,126
2957.976,127
2258.201,128
2181.1355,129
2748.4255,130
3210.1365,131
3138.1843,132
3265.5425,133
3352.8926,134
3261.5803,135
3408.962,136
3236.4736,137
2466.748,138
1868.3917,139
894.8841,140
1695.6012,141
2832.0022,142
3165.2173,143
2157.3687,144
1483.4736,145
871.84534,146
2021.9556,147
3030.6445,148
3470.7449,149
3317.2388,150
3460.9182,151
3354.6216,152
3261.9397,153
3138.5354,154
2797.1323,155
2767.0408,156
2999.4023,157
3081.4187,158
3231.109,159
2704.1309,160
1562.5254,161
1294.998,162
2102.0154,163
2845.504,164
3390.956,165
3509.73,166
3338.5688,167
3097.11,168
3248.9897,169
3033.9895,170
2490.4868,171
1552.6824,172
1949.0603,173
2661.5461,174
2755.561,175
3076.0186,176
3082.3328,177
2815.84,178
2977.2354,179
3458.59,180
2665.0837,181
2348.502,182
1567.7272,183
2370.5757,184
3520.8445,185
2334.1438,186
3276.608,187
3621.0342,188
3511.2356,189
3802.8257,190
3567.6643,191
3136.1216,192
2855.527,193
2402.4678,194
3143.3447,195
2912.5334,196
3242.8347,197
2654.0632,198
1807.921,199
1331.0704,200
1856.433,201
3122.625,202
3477.395,203
3369.4556,204
3515.0002,205
3466.2053,206
3180.4937,207
2933.9275,208
2003.4514,209
962.3681,210
1693.4408,211
3008.347,212
2845.2974,213
2106.5737,214
1104.7035,215
764.7808,216
1925.7678,217
3124.4312,218
3335.5784,219
3203.2073,220
3199.089,221
2920.4377,222
2891.8096,223
2780.474,224
2390.5269,225
1670.9342,226
1798.2053,227
3061.9854,228
2956.5,229
3203.719,230
2665.389,231
3465.9543,232
3436.3208,233
3522.3906,234
3669.9153,235
3317.475,236
2715.311,237
3152.024,238
3237.8362,239
2722.926,240
2410.4133,241
2078.7659,242
1693.7616,243
2595.3394,244
3041.2803,245
3469.7336,246
3581.533,247
3403.4963,248
3166.7466,249
3027.099,250
2219.082,251
1736.0432,252
2464.068,253
2521.8877,254
2975.5996,255
2526.0278,256
3325.6462,257
3360.8525,258
3047.7175,259
3447.2588,260
3256.7957,261
3623.1138,262
3772.4858,263
3670.682,264
3605.134,265
3408.5273,266
4073.672,267
3592.9482,268
2905.2874,269
3387.0898,270
2683.4155,271
3358.2583,272
3705.8003,273
4069.5378,274
4275.461,275
3645.9807,276
3391.258,277
3814.9312,278
4027.9739,279
3549.7893,280
4131.756,281
3179.565,282
3764.8877,283
3517.6592,284
4012.377,285
4736.085,286
