@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
0.101839446,5
0.32529885,6
0.2870021,7
0.32782733,8
0.25431985,9
0.2684858,10
0.5585509,11
1.8019983,12
1.6519499,13
1.4067092,14
1.3969911,15
1.4685237,16
1.4940488,17
1.3560485,18
1.4833112,19
1.5122224,20
1.4936585,21
1.6011556,22
1.7478539,23
1.7584383,24
1.7186043,25
1.7139804,26
1.7730973,27
1.8278692,28
1.7079196,29
1.8799263,30
1.8387139,31
1.8375298,32
1.8787987,33
1.8255049,34
1.8190455,35
1.9559358,36
2.009835,37
1.8620434,38
1.7872269,39
1.8268179,40
1.864757,41
1.9350996,42
1.8151568,43
1.794159,44
1.7381637,45
1.7563561,46
1.8084865,47
1.7799633,48
1.8393075,49
1.7708985,50
1.8180759,51
1.8804239,52
1.9059724,53
1.7376387,54
1.768417,55
1.845629,56
1.832232,57
1.9751971,58
2.0329049,59
1.8726745,60
1.8440117,61
1.7111592,62
1.7675059,63
1.828702,64
1.8545718,65
1.7972614,66
1.8044604,67
1.8693383,68
1.948736,69
1.888404,70
1.8486923,71
1.807909,72
1.9124942,73
2.153953,74
2.3338523,75
2.14071,76
1.7686814,77
1.7893255,78
1.7610501,79
1.7779013,80
1.828771,81
1.8277628,82
1.795708,83
1.8517171,84
1.9578041,85
2.0064876,86
1.7827953,87
1.8430504,88
1.5566008,89
1.2351005,90
1.5773255,91
1.6859516,92
1.6585754,93
1.7104665,94
1.6776744,95
1.5888593,96
1.5351508,97
1.6839677,98
1.6317806,99
1.4997122,100
1.3460212,101
1.5138301,102
1.4819273,103
1.5267315,104
1.5553281,105
1.5433713,106
1.6075903,107
1.5774205,108
1.7324057,109
1.7920662,110
1.7053844,111
1.7328373,112
1.7555009,113
1.7313199,114
1.8031646,115
1.7251958,116
1.809712,117
1.7941953,118
1.7701347,119
1.8347837,120
1.803783,121
1.8441552,122
1.9506358,123
1.8667374,124
1.7985215,125
1.8355085,126
1.8288339,127
1.9310666,128
1.9274011,129
1.7659432,130
1.7806576,131
1.7961788,132
1.8274484,133
1.8766018,134
1.7745174,135
1.8146757,136
1.8221794,137
1.8011802,138
1.94694,139
2.4086218,140
2.0397704,141
1.8793849,142
1.7794809,143
1.8067995,144
1.9416165,145
2.2787945,146
1.8355732,147
1.8071636,148
1.7977406,149
1.8790911,150
1.7958399,151
1.7965082,152
1.87344,153
1.866381,154
1.8439097,155
1.8826535,156
1.8230985,157
1.7999216,158
1.8026515,159
1.8128759,160
1.9967006,161
2.1287408,162
1.9436696,163
1.8060122,164
1.7899947,165
1.7536182,166
1.857982,167
1.7480817,168
1.8031412,169
1.8378426,170
1.8848671,171
2.0358202,172
1.9500178,173
1.8580384,174
1.8143969,175
1.807444,176
1.7749298,177
1.8354824,178
1.8630551,179
1.7832376,180
1.7722449,181
1.8659405,182
1.9550117,183
1.947042,184
1.6828196,185
1.257461,186
1.4490123,187
1.503671,188
