@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
5.3119893E-6,5
1.6949916E-5,6
1.6887396E-5,7
1.798689E-5,8
1.3748034E-5,9
1.5580785E-5,10
1.6250105E-4,11
0.09986166,12
0.2829686,13
0.21129578,14
0.28763464,15
0.3590817,16
0.31998467,17
0.33714715,18
0.29373652,19
0.2680923,20
0.19507533,21
0.20334958,22
0.19931245,23
0.1684589,24
0.13281356,25
0.080826655,26
0.07277608,27
0.119416036,28
0.16993135,29
0.16113333,30
0.18685587,31
0.17345917,32
0.16871567,33
0.16324054,34
0.13125066,35
0.07654793,36
0.06886498,37
0.09816889,38
0.14202622,39
0.11774681,40
0.08277563,41
0.05672233,42
0.10794007,43
0.1549746,44
0.18223564,45
0.17654696,46
0.15979664,47
0.16863854,48
0.1742715,49
0.15722685,50
0.11432997,51
0.082462765,52
0.07815885,53
0.1275453,54
0.17933841,55
0.17532682,56
0.09882432,57
0.055016723,58
0.06437768,59
0.1158464,60
0.14955847,61
0.15778887,62
0.1641362,63
0.16053219,64
0.18452802,65
0.14722888,66
0.15595515,67
0.1264494,68
0.08140651,69
0.123257175,70
0.1592127,71
0.15019426,72
0.09646222,73
0.04898906,74
0.041940987,75
0.06293039,76
0.13200778,77
0.14367907,78
0.15776262,79
0.13950811,80
0.14027837,81
0.14714019,82
0.16958156,83
0.11079482,84
0.052979447,85
0.045681432,86
0.13126309,87
0.15570731,88
0.29090852,89
0.16071293,90
0.16890916,91
0.16466333,92
0.19153002,93
0.20988847,94
0.14971636,95
0.12285606,96
0.11126518,97
0.15656257,98
0.1773762,99
0.33394673,100
0.2431292,101
0.2751463,102
0.27751383,103
0.29433247,104
0.2812807,105
0.23774122,106
0.14929587,107
0.13135937,108
0.15196656,109
0.1738547,110
0.13600415,111
0.09614092,112
0.07452494,113
0.091301285,114
0.13624007,115
0.15303582,116
0.17208797,117
0.16137724,118
0.1872032,119
0.18810077,120
0.16991603,121
0.11398675,122
0.06383575,123
0.083248906,124
0.13924125,125
0.14395551,126
0.12633277,127
0.0663854,128
0.048443753,129
0.10899764,130
0.15012714,131
0.16193077,132
0.14854349,133
0.15891005,134
0.15423176,135
0.17239082,136
0.16284804,137
0.12222423,138
0.061863717,139
0.03072261,140
0.07020412,141
0.1356163,142
0.17411226,143
0.09008182,144
0.061759587,145
0.03470387,146
0.09517183,147
0.14072709,148
0.1530587,149
0.1742307,150
0.18503456,151
0.16389883,152
0.18120892,153
0.1551616,154
0.11853455,155
0.085953906,156
0.12242689,157
0.16609488,158
0.13207603,159
0.080972634,160
0.04566849,161
0.03991855,162
0.0681411,163
0.12660453,164
0.1615163,165
0.19387314,166
0.1889938,167
0.16325492,168
0.16746426,169
0.14022353,170
0.08555229,171
0.04035408,172
0.055718504,173
0.1046512,174
0.14794502,175
0.15457553,176
0.1560608,177
0.11607489,178
0.15986872,179
0.16368389,180
0.12905075,181
0.11195745,182
