@RELATION 'Music feature'
%rows=1
%columns=9770
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Root mean square' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
0.0,2
0.0,3
0.0,4
7.509239077E-6,5
1.440016639E-5,6
1.355425873E-5,7
1.495779719E-5,8
1.236103191E-5,9
1.293626782E-5,10
3.109826516E-4,11
0.1024597752,12
0.2867166799,13
0.6501655309,14
0.5378719012,15
0.4276236486,16
0.3441140916,17
0.3073686215,18
0.2942543343,19
0.3066237769,20
0.3772819005,21
0.2778017817,22
0.2083599524,23
0.1906738866,24
0.2880748687,25
0.3573506649,26
0.4342933551,27
0.3162574582,28
0.169505062,29
0.1552527387,30
0.1764825117,31
0.1752964711,32
0.1608465805,33
0.1670550098,34
0.1828406068,35
0.2514619262,36
0.2951174215,37
0.2967509739,38
0.2449900621,39
0.2018723876,40
0.172600793,41
0.2291296134,42
0.2787362558,43
0.2310797848,44
0.1724626313,45
0.1844912257,46
0.1992483154,47
0.167382904,48
0.1595433886,49
0.1778340535,50
0.1792094582,51
0.1337137982,52
0.226774404,53
0.2567985065,54
0.2151988629,55
0.1817794509,56
0.279542387,57
0.3969483823,58
0.4340335044,59
0.2711568584,60
0.1552282344,61
0.1378222614,62
0.1537276492,63
0.151148095,64
0.1713012289,65
0.16404674,66
0.1562176001,67
0.1992889508,68
0.3124922173,69
0.2710441246,70
0.2303420522,71
0.2315379678,72
0.3162540834,73
0.4077072933,74
0.500414801,75
0.4656104222,76
0.3276553184,77
0.2221067817,78
0.22271106,79
0.1979724639,80
0.2232991657,81
0.2307020309,82
0.2084379323,83
0.1637537223,84
0.2945952914,85
0.3257427914,86
0.2630992307,87
0.1986071168,88
0.2483447077,89
0.7272549809,90
0.5087948194,91
0.5367211115,92
0.4059108174,93
0.286152068,94
0.2488537013,95
0.3070088887,96
0.4083447113,97
0.3036129137,98
0.21937917,99
0.5169159733,100
0.6808447455,101
0.5073075007,102
0.5263117974,103
0.2907004963,104
0.3398225268,105
0.3045528615,106
0.3051711943,107
0.3591502144,108
0.2691710547,109
0.2417331973,110
0.1969567535,111
0.1996706728,112
0.212410634,113
0.2767539661,114
0.1917127901,115
0.139753984,116
0.1576585801,117
0.1389123768,118
0.1722065563,119
0.1724449647,120
0.1724427976,121
0.1627308236,122
0.2243883229,123
0.2386121083,124
0.2372978848,125
0.1819439561,126
0.153474808,127
0.140440317,128
0.09847042004,129
0.1962341392,130
0.1796388816,131
0.1731926628,132
0.1523080899,133
0.1504030902,134
0.1510352289,135
0.1548590379,136
0.1630268287,137
0.2127448992,138
0.2760032246,139
0.4176202682,140
0.4411063435,141
0.2711277169,142
0.203668304,143
0.3078965692,144
0.3952234104,145
0.429185347,146
0.4133870377,147
0.190093211,148
0.137476478,149
0.1672672713,150
0.1643906767,151
0.1572156687,152
0.1684512271,153
0.171310003,154
0.1730172835,155
0.1187035229,156
0.1524735261,157
0.1831002294,158
0.162133599,159
0.145931916,160
0.2764264205,161
0.3172546081,162
0.2692592234,163
0.2277797861,164
0.1670793047,165
0.1761003505,166
