@RELATION 'Music feature'
%rows=1
%columns=14720
%sample_rate=22050
%window_size=512
%step_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.0,1
2.5461877E-6,2
1.4359916E-4,3
1.416144E-4,4
1.5658281E-4,5
1.5303482E-4,6
1.4200072E-4,7
1.5290444E-4,8
1.4557171E-4,9
1.6308372E-4,10
1.5453716E-4,11
1.5887129E-4,12
1.4558955E-4,13
1.5498736E-4,14
1.5926678E-4,15
1.630305E-4,16
1.6279267E-4,17
1.426485E-4,18
1.440192E-4,19
0.002165167,20
0.0034262356,21
0.0032090317,22
0.002914727,23
0.0022391148,24
0.0014899853,25
0.0014701693,26
0.0016104521,27
0.0010451287,28
0.0011181985,29
8.4491144E-4,30
6.463207E-4,31
5.4103363E-4,32
5.6985614E-4,33
6.5235153E-4,34
5.7587866E-4,35
6.75666E-4,36
4.706909E-4,37
5.507706E-4,38
0.005377252,39
0.011943951,40
0.0103695,41
0.008124065,42
0.006276958,43
0.004945682,44
0.0038287377,45
0.0015916872,46
9.1574073E-4,47
9.0240594E-4,48
0.0011956925,49
0.0016778046,50
0.0016400586,51
0.004338353,52
0.0050033126,53
0.0059337346,54
0.005970105,55
0.0053762402,56
0.0042699957,57
0.0037842486,58
0.0034132847,59
0.0035304269,60
0.002673258,61
0.005764398,62
0.015972506,63
0.016855845,64
0.011799207,65
0.009668279,66
0.0073396894,67
0.0053568385,68
0.0037902144,69
0.002808156,70
0.0025791486,71
0.0036962186,72
0.0036719884,73
0.011431609,74
0.017463408,75
0.016524918,76
0.015856646,77
0.012629149,78
0.009228788,79
0.008090722,80
0.008843672,81
0.0064631477,82
0.00657638,83
0.004472038,84
0.0064208345,85
0.011200062,86
0.015168569,87
0.010558198,88
0.008719552,89
0.0053931684,90
0.0030602755,91
0.004727385,92
0.004653736,93
0.002805049,94
0.0036018288,95
0.0034982017,96
0.0030909807,97
0.0043613696,98
0.009504455,99
0.010764773,100
0.010243618,101
0.009773106,102
0.010255118,103
0.009165525,104
0.009869215,105
0.009695909,106
0.009064989,107
0.00792301,108
0.0070941006,109
0.006088507,110
0.005586775,111
0.0050817025,112
0.004977832,113
0.0041180043,114
0.0025636896,115
0.0025345911,116
0.0023537711,117
0.0027648576,118
0.003010628,119
0.0027828375,120
0.0024995953,121
0.002558516,122
0.002454936,123
0.0019989095,124
0.002223009,125
0.003626533,126
0.012890111,127
0.015965868,128
0.015441517,129
0.013362957,130
0.013596966,131
0.012278884,132
0.012443921,133
0.011764107,134
0.011010622,135
0.008633848,136
0.007944076,137
0.0060429443,138
0.005184806,139
0.0052056853,140
0.0050582048,141
0.0043211696,142
0.0034533758,143
0.0035585333,144
0.003946639,145
0.0042983964,146
0.0043985075,147
0.004447777,148
0.0044119945,149
0.008590502,150
0.017432978,151
0.019131603,152
